H..stevensii	Halobacillus_sp	kb_g_684_fbamdl3_Arthrobacter	cpd00001_e0	cpd00007_e0	cpd00009_e0	cpd00011_e0	cpd00012_e0	cpd00013_e0	cpd00023_e0	cpd00024_e0	cpd00025_e0	cpd00027_e0	cpd00028_e0	cpd00030_e0	cpd00033_e0	cpd00034_e0	cpd00036_e0	cpd00039_e0	cpd00041_e0	cpd00048_e0	cpd00051_e0	cpd00053_e0	cpd00054_e0	cpd00058_e0	cpd00060_e0	cpd00063_e0	cpd00064_e0	cpd00065_e0	cpd00066_e0	cpd00067_e0	cpd00069_e0	cpd00073_e0	cpd00075_e0	cpd00076_e0	cpd00080_e0	cpd00082_e0	cpd00092_e0	cpd00098_e0	cpd00099_e0	cpd00100_e0	cpd00104_e0	cpd00105_e0	cpd00106_e0	cpd00107_e0	cpd00117_e0	cpd00118_e0	cpd00119_e0	cpd00121_e0	cpd00122_e0	cpd00129_e0	cpd00130_e0	cpd00137_e0	cpd00138_e0	cpd00142_e0	cpd00149_e0	cpd00156_e0	cpd00159_e0	cpd00162_e0	cpd00176_e0	cpd00178_e0	cpd00179_e0	cpd00182_e0	cpd00184_e0	cpd00204_e0	cpd00205_e0	cpd00208_e0	cpd00209_e0	cpd00210_e0	cpd00211_e0	cpd00214_e0	cpd00220_e0	cpd00221_e0	cpd00224_e0	cpd00226_e0	cpd00244_e0	cpd00246_e0	cpd00249_e0	cpd00254_e0	cpd00264_e0	cpd00268_e0	cpd00276_e0	cpd00277_e0	cpd00305_e0	cpd00307_e0	cpd00309_e0	cpd00314_e0	cpd00322_e0	cpd00367_e0	cpd00393_e0	cpd00395_e0	cpd00412_e0	cpd00423_e0	cpd00438_e0	cpd00531_e0	cpd00540_e0	cpd00550_e0	cpd00588_e0	cpd00591_e0	cpd00635_e0	cpd00637_e0	cpd00644_e0	cpd00654_e0	cpd00794_e0	cpd00797_e0	cpd00910_e0	cpd00971_e0	cpd01012_e0	cpd01017_e0	cpd01030_e0	cpd01048_e0	cpd01080_e0	cpd01092_e0	cpd01133_e0	cpd01171_e0	cpd01242_e0	cpd01262_e0	cpd01329_e0	cpd01914_e0	cpd02021_e0	cpd02894_e0	cpd03048_e0	cpd03091_e0	cpd03279_e0	cpd03343_e0	cpd03424_e0	cpd03696_e0	cpd03724_e0	cpd03725_e0	cpd03847_e0	cpd03959_e0	cpd04097_e0	cpd04098_e0	cpd04129_e0	cpd08023_e0	cpd08305_e0	cpd08306_e0	cpd09878_e0	cpd10515_e0	cpd10516_e0	cpd11575_e0	cpd11576_e0	cpd11578_e0	cpd11579_e0	cpd11580_e0	cpd11581_e0	cpd11582_e0	cpd11583_e0	cpd11584_e0	cpd11585_e0	cpd11586_e0	cpd11587_e0	cpd11588_e0	cpd11589_e0	cpd11590_e0	cpd11591_e0	cpd11592_e0	cpd11593_e0	cpd11596_e0	cpd11597_e0	cpd11606_e0	cpd15378_e0	cpd15603_e0	cpd15604_e0	cpd15605_e0	cpd15606_e0	Perturbations	time	subject	id
atr2_1_00001	0	0	5.04906950527672e-05	0	0	0.0999864456877983	10	6.59733032530071e-06	2.69138852770897e-06	0	0	0	0	0	9.99999999770116	0	9.99999999770116	0	0	0	9.99999993685443	0	0	0	9.99999999770116	0	9.99999999770116	0	0	0	9.9999864456878	0	0	0	0	0	0	0	0	10.0000047913342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99999999770116	0	0	0	0	0	0	0	0	9.19535530746855e-09	9.99999999770116	0	0	0	0	0	0	0	0	3.56131937917781e-06	0	0	0	9.99999999770116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79114674446784e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37930329612028e-08	0	0	0	0	0	0	0	0.149995206366948	0	0	0	0	0	0	0	9.99999999080464	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	START_noP	0	atr2_1	atr2_1_00001
atr2_1_00002	0	0	0.00281076205007826	0	0	0.0371043398963951	10	0.0297333099634562	0.0737679300183603	0	0	0	0	0	9.99997808208898	0	9.99997808208898	0	0	0	9.99939794865258	0	0	0	9.99997808208898	0	9.99997808208898	0	0	0	9.46314141243432	0	0	0	0	0	0	0	0	10.0310428365107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99997808208898	0	0	0	0	0	0	0	0	8.76716441056226e-05	9.99997808208898	0	0	0	0	0	0	0	0	0.00078694929884469	0	0	0	9.99997808208898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310580250521193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000131507466158433	0	0	0	0	0	0	0	0.118935245578283	0	0	0.0259897376389157	0	0	0	0	9.99991232835589	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H. stevensii_PHOSPHATE	0.999809999999977	atr2_1	atr2_1_00002
atr2_1_00003	0.00561887001221392	0	0.0275912639603286	1.19749320533894e-05	0.000310649279798409	0.381447331610135	10.0009984059434	0.341270385105424	0.552322384646798	0	0	0	0	4.14714613027591e-17	9.99977446270658	0	9.99977446270658	0	4.72135701253294e-05	0	9.98949573046873	0	0	0	9.99977446270658	0	9.99977446270658	0	0	0	11.4417023913866	0	0.00250402664319166	0	3.81590108907931e-05	0	0	1.14482384288628e-07	0	10.1970240160907	0	0	0	0	0	0	2.1914758478296e-19	0	0	0	0	0	0	0	0	9.99977446270658	0	0	0	0	0	0.00090205547115139	5.40909671085748e-07	7.37770692411985e-10	0.005574946099221	9.99977446270658	2.58972711274723e-17	0	0	0	2.99562799849165e-05	0	0	0	0.000554419013475352	0	8.7686548213406e-10	6.16302417171569e-18	9.99977446270658	8.10197711006019e-20	0	1.52338133110305e-07	6.47952709411473e-07	0.0040040750813514	9.70231454073591e-09	7.58693845714983e-06	0	0	8.78524204822554e-10	0.000937030816708521	0	2.79557820287212e-07	0	1.86478913951094e-06	0	1.07887821897759e-22	0	0	0.138700165765991	0	0	5.5867591502606e-10	3.49688466645928e-07	2.12550957677799e-05	0	0	6.59452806508962e-16	0	0	0	0	0.00020089365576999	7.5481828103757e-09	0	0	0	0	0	1.39281016047404e-19	0	0	0	0.00601227937121914	8.86464474746533e-07	0	0	0	0	0	7.77661969215547e-06	0.102750446615855	0	0	0.00964860610833333	0	0	0	0	9.99909785082622	10	0	0	0	0	0	1.4531312253231e-07	0	0	0	0	0	0	0	0	7.22424032519334e-20	2.49342945098434e-21	0	0	0	0	0	0.000260232533888108	2.9390272078216e-18	0	2.0594631469793e-18	0	Halobacillus_sp_PHOSPHATE	1.99988999999995	atr2_1	atr2_1_00003
atr2_1_00004	0.0098953420321957	0.00603778983951291	0.0517109420451373	0.0020868436414043	0.0193524726124067	0.508182169477053	10.004856926902	0.754668445359248	1.07682538366173	3.83804529668282e-05	3.88093024896978e-06	0	8.68887587607549e-06	1.21368861292013e-17	9.99954877559256	7.86039053021969e-08	9.99954877559256	1.4160186331053e-06	2.69547483504092e-05	0	9.9773593513639	0.000256924411298936	0	0	9.99954877559256	0	9.99954877559256	7.12525283457631e-07	0.000200177999278386	6.45730178465335e-07	10.2025671004921	0	0.0170092174906736	0	0.000605530332768195	0	1.1858335057826e-05	9.82807899166601e-05	0	10.356583663089	2.25725488353578e-06	0	8.47664613178778e-06	1.96276141484743e-05	0.00134054236488449	0	7.87233910809148e-20	0	0	5.61847676469587e-06	5.2502181252961e-06	0.000204983423780683	1.01268855358771e-05	5.6572073668673e-08	1.19714964069204e-06	9.99954877559256	9.25575026079048e-06	3.54392840951826e-06	4.76796501864565e-07	0	0	0.0013793475135222	3.61032047807278e-05	7.40100246024114e-05	0.00915019007175898	9.99954877559256	1.10233118472092e-17	0	0	0	0.000428945642107328	0.000353221906360922	0	0	0.000542816475666895	0	4.00484828561278e-05	0.000122503154546046	9.99954877559255	0	5.44682598153537e-18	1.39705753934767e-05	5.58836751937748e-05	0.0093532827027033	7.45900921500579e-07	7.46848096832136e-05	2.04357490268177e-05	7.21233213056031e-05	3.86628033346008e-05	0.00165612592663819	0	7.14560696488008e-05	0	4.90956982887594e-05	0	0	0	0	0.0856200126467363	0	0	4.00491293708603e-05	1.17091262836117e-05	0.000305943395755164	4.64637544818253e-08	0.000197177321050258	1.02593457858806e-15	0	6.51520770528997e-21	0	0	0.000281644098362133	7.5481828103757e-09	4.39128297531166e-18	0	0	0	0	1.52910277843037e-20	0	0.00487988605960161	4.69471668489907e-16	0.00997055507679045	5.95952059497727e-06	0	0	0	0	0	1.49210617634327e-05	0.0929651125035605	0	0	0.00354876063304166	0	0	0	0	9.99825891456893	9.99993618780118	0	0	0	0	0	2.9823920740521e-05	2.71355672766944e-23	0	2.35191852512943e-14	0	2.70774995976659e-22	4.53116056591241e-25	2.36868817518028e-21	0	1.24371932045469e-19	2.06784620625428e-20	0	0	0	0	0	0.00232143739619049	1.08390560505811e-18	1.55028070997524e-20	7.63022460511224e-19	6.700707884652e-22	H. stevensii_PHOSPHATE	2.99996999999992	atr2_1	atr2_1_00004
atr2_1_00005	0.017568883233067	0.00959342183535813	0.0746184245513977	0.0285670954061492	0.053949306317457	0.55477732856155	10.0223620592153	1.21299208400401	1.60469181353302	1.42825950652614e-05	1.43532571171875e-06	0	3.29944792612551e-06	4.6885461465913e-18	9.99932543461941	2.89261613246329e-08	9.99932543461941	5.2437836151362e-07	1.00561906239634e-05	0	9.96659197986557	0.00014162649797035	0	0	9.99932543461941	0	9.99932543461941	3.79543612548405e-07	9.76771957858972e-05	2.37499780919192e-07	8.42198257197494	0	0.0152681301328233	0	0.000856232173325698	0	5.04247984692709e-06	7.96999106029911e-05	2.30239894865308e-18	10.5099627829806	8.33138703828416e-07	0	3.13114694024212e-06	9.18977397963281e-06	0.0014811918258887	0	2.89544902165926e-20	3.18184244035965e-26	0	2.24468344360276e-06	2.07688934980397e-06	8.02442106133294e-05	4.79289314737193e-06	2.08465962487418e-08	4.41726680247315e-07	9.99932543461941	5.39335137461467e-06	1.59754387819758e-06	4.77241537598918e-07	0	0	0.00147665351889971	1.80711222433732e-05	6.90666240539523e-05	0.0117678897019157	9.99932543461941	2.32764084541906e-17	4.30346930023988e-20	0	0	0.000443890294131819	0.000352555902745256	0	0	0.000216498956201622	0	4.83994273109449e-05	6.30996503818342e-05	9.99932543461941	5.33213171536535e-20	3.59892050119791e-18	5.14181448560537e-06	3.86510082468504e-05	0.0133983305073076	2.74342614534189e-07	3.4377777797383e-05	1.25046598425766e-05	7.07194850544725e-05	2.08010047392561e-05	0.0021553500821119	0	4.02950462803648e-05	0	2.34055989158687e-05	0	1.0884332880123e-17	0	0	0.0638691627861179	0	0	5.15438589301675e-05	7.76771039030493e-06	0.000846655592558944	3.66849403509919e-07	0.000197376668432311	1.02498055468627e-15	0	0	0	0	0.000111377009824773	7.5481828103757e-09	1.68146986956924e-18	0	0	0	0	5.44685135469556e-21	1.71421218512273e-21	0.00508804083475584	1.94333012752754e-16	0.0129520105505097	2.94495570161189e-06	0	0	0	0	0	5.48799100639343e-06	0.0893626516384047	0	0	0.00130523537692655	0	0	0	0	9.99744017058421	9.99986156789322	0	0	0	0	0	1.31906688150436e-05	1.30876689051459e-23	0	8.65036422530025e-15	0	2.86515745856166e-21	1.66656240888648e-25	8.71204322536395e-22	0	4.61834719549013e-20	7.60532153199993e-21	0	0	0	0	3.94084266482606e-21	0.00417331717583738	3.96949814833435e-19	5.70193776381066e-21	2.80622608065498e-19	0	ATRAZINE	4.00004999999989	atr2_1	atr2_1_00005
atr2_1_00006	0.0191048536961377	0.0116402249628698	0.0992556210522319	0.0105139681131892	0.0198680992344444	0.204047291556741	10.0232681758815	1.37384807161789	2.11508227112784	5.28565413588291e-06	5.58642944064566e-07	0	1.21560727468671e-06	1.72787602269151e-18	9.99910881669078	1.06390520476539e-08	9.99910881669078	2.09500575624453e-07	3.69884864275026e-06	0	9.95013494671766	7.98507288051787e-05	0	0	9.99910881669078	3.09156812213841e-20	9.99910881669078	2.47747494368223e-07	3.61623320514712e-05	8.7352500808807e-08	6.66985086231273	0	0.00674095277559222	0	0.00032280203734482	0	1.85983756800721e-06	3.19497447389229e-05	7.67530312041557e-18	10.6575626557729	3.12965476885055e-07	0	1.66660233340934e-06	3.385717102274e-06	0.000881415704599373	0	0	4.02566835696582e-22	0	9.5432277617719e-07	8.29167728847163e-07	2.96061255396931e-05	1.7638880272455e-06	7.66738524402545e-09	1.66645072109817e-07	9.99910881669078	1.99116904089916e-06	5.91657430924357e-07	1.82473053576653e-07	0	0	0.000597116533895754	7.03224609606107e-06	4.19852923897993e-05	0.011956692015458	9.99910881669079	8.65170768454666e-18	1.58367018611162e-20	0	0	0.000443911340689385	0.000326663493330129	0	0	0.000162062254010541	0	1.89774188538375e-05	3.68252604926596e-05	9.99910881669078	1.64122326993024e-20	0	1.89201076757187e-06	1.62620525665472e-05	0.0236940497003702	1.00903310387122e-07	1.4782541025298e-05	4.60424076923269e-06	4.93420682594037e-05	9.30363983430104e-06	0.00167715946586176	0	1.48718685363102e-05	0	1.2743229952664e-05	0	5.51888814472055e-18	0	0	0.0666005310285618	2.77004244574963e-25	0	2.28488444519537e-05	2.86757994071854e-06	0.000314713574572905	1.34937973413707e-07	0.0002283974225799	1.48695054807786e-15	0	1.69163058636058e-20	0	0	6.38167001229434e-05	7.5481828103757e-09	6.60722926081116e-19	0	0	0	0	1.81066279285262e-21	7.4432565962041e-22	0.00240067812848667	1.20304497159122e-16	0.0135320347224492	1.64241748003276e-06	0	0	0	0	0	2.0211510531521e-06	0.0915461609174601	0	0	0.00048006601891331	0	0	0	0	9.996605320537	9.99982994622598	0	0	0	0	0	4.85153251036823e-06	4.81364910821176e-24	0	1.58399149842612e-13	0	1.05387694814399e-21	4.45112746096132e-21	3.20429165660744e-22	0	0	0	0	0	0	0	2.74673054595009e-19	0.0124460057283415	1.32654652503355e-13	2.09684673376526e-21	1.01933689408391e-19	2.38290763279347e-21	END	5.00013000000151	atr2_1	atr2_1_00006
atr2_10_00001	0	0	4.86576830782676e-05	0	0	0.0999869377629529	10	6.35782113507531e-06	2.59368047686583e-06	0	0	0	0	0	9.99999999778462	0	9.99999999778462	0	0	0	9.99999993914686	0	0	0	9.99999999778462	0	9.99999999778462	0	0	0	9.99998693776295	0	0	0	0	0	0	0	0	10.0000046173898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99999999778462	0	0	0	0	0	0	0	0	8.86152753245469e-09	9.99999999778462	0	0	0	0	0	0	0	0	3.43202939693003e-06	0	0	0	9.99999999778462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61720916359247e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3292291298682e-08	0	0	0	0	0	0	0	0.149995380394792	0	0	0	0	0	0	0	9.99999999113847	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	START_noP	0	atr2_10	atr2_10_00001
atr2_10_00002	0	0	0.00280660940977854	0	0	0.0371363868750567	10	0.0297187336696415	0.0736569020017203	0	0	0	0	0	9.99997810058951	0	9.99997810058951	0	0	0	9.99939845683331	0	0	0	9.99997810058951	0	9.99997810058951	0	0	0	9.46409243440528	0	0	0	0	0	0	0	0	10.031004524446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99997810058951	0	0	0	0	0	0	0	0	8.75976420493385e-05	9.99997810058951	0	0	0	0	0	0	0	0	0.000796806106681076	0	0	0	9.99997810058951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031019682078089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000131396463074324	0	0	0	0	0	0	0	0.118973576143434	0	0	0.0259260584019303	0	0	0	0	9.99991240235799	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H. stevensii_PHOSPHATE	0.999809999999977	atr2_10	atr2_10_00002
atr2_10_00003	0.00569016607694191	0	0.0270781742906775	1.53309236177033e-05	0.00014532989826446	0.381459118499869	10.0003781991864	0.341553082392271	0.551544261754164	0	0	0	0	1.71877414845868e-17	9.99977830122745	0	9.99977830122744	0	7.89685313988033e-05	0	9.98904888829104	0	0	0	9.99977830122744	1.25748563210945e-20	9.99977830122745	0	0	0	9.26823306479405	0	0.00241841309372512	0	8.81010460252945e-05	0	0	9.59504219682915e-08	0	10.1975682095957	0	0	0	0	0	0	0	4.97604769056492e-18	0	0	0	0	0	0	0	9.99977830122745	0	0	0	0	0	0.00118923144657091	1.10964696910157e-06	1.22847795816386e-12	0.00633735483098753	9.99977830122745	2.765270505217e-15	0	0	0	1.75605593345503e-05	0	0	0	0.000585567687243224	0	2.89525056041783e-07	5.77159037279276e-12	9.99977830122745	0	0	0	2.8775248231976e-07	0.0045465543518879	0	0	0	0	5.46934932602652e-09	0.00114773259687094	0	8.05760342239882e-07	0	3.39807603798935e-06	0	0	0	0	0.138098612083615	9.73451736123995e-24	0	1.25402747884826e-17	2.34652152349768e-07	3.12419128489037e-05	0	0	0	0	0	0	0	0.000194153102821758	0	0	0	0	0	0	5.11955827195129e-20	3.70534593902433e-17	3.25015795485593e-16	1.11793647263551e-16	0.00676656952942374	2.93462916593128e-07	0	0	0	0	0	9.97802943412472e-06	0.102210091631755	0	0	0.00954266492220354	0	0	0	0	9.99913060679792	9.99998259811187	0	0	0	0	0	3.13525973145489e-18	0	4.58070300241615e-18	4.81671193037143e-17	8.63392137859709e-20	1.27469682128931e-18	0	0	0	0	0	0	0	0	0	0	0.000234117365501467	0	0	0	1.92419026902084e-17	H. stevensii_PHOSPHATE	1.99988999999995	atr2_10	atr2_10_00003
atr2_10_00004	0.0144232334690506	0	0.0518174065890073	5.77187130207751e-06	0.0127153544967254	0.532212941985168	10.0005621712547	0.748646044082783	1.04851419374474	0	7.70206932605516e-05	0	0.000350638192685375	0	9.99956536650274	0	9.99956536650274	0	0.000108810255298266	0	9.97849254802883	0	0	0	9.99956536650274	0	9.99956536650274	0	0	0	7.65269686162103	0	0.0336526238334941	0	0.000200273064753645	0	0.00012603066194301	0.000121205419877862	5.19959688680206e-19	10.3568024083728	0	0	0	4.03098644967824e-06	0	0	0	1.83019204578815e-18	0	0	0	3.90397414321687e-05	4.17512373796835e-05	0	2.19684658996728e-08	9.99956536650274	0	1.56078174224015e-06	1.52293653323218e-07	0	0	0.00163990184086866	6.17705941948009e-05	0.000609909943801472	0.00996523744822894	9.99956536650274	1.13341687128189e-15	0	0	0	0.00261046252265838	0	0	0	0.00102907413344402	0	4.60676571318144e-05	0.000624541212147726	9.99956536650274	0	7.50371652887408e-20	3.20705814493145e-05	9.66403421456902e-05	0.00852075989270895	4.23269861043241e-21	0	0	0	2.3204950684248e-06	0.0020277928849969	0	1.81967911210837e-05	0	0.000152302426436754	0	7.16960704567832e-21	0	0	0.101765208757566	9.73451736123995e-24	0	8.94167686067064e-05	8.4127351878972e-07	0.000214467782079825	1.73997464311726e-11	0	1.03189891892443e-18	0	7.04555437956262e-20	0	0	0.000421103387845324	0	0	0	0	0	0	1.66443781277049e-20	1.36318128289152e-17	2.81257390603256e-16	3.90145991860373e-16	0.0107872942623771	3.21228331635555e-05	0	0	0	0	0	1.50057714871461e-05	0.0927629581298358	0	0	0.00350979542847909	0	0	0	0	9.99832711733834	9.99993434867247	0	0	0	0	0	6.5347432164938e-05	1.9699006347479e-19	1.367430072029e-18	1.76396935928252e-17	3.17555924173122e-20	4.01158683278746e-19	0	0	0	3.75579382813494e-35	0	0	0	0	0	0	0.00231223947818699	0	0	0	7.0834321294201e-18	Halobacillus_sp_H. stevensii_PHOSPHATE	2.99996999999992	atr2_10	atr2_10_00004
